ticker,name
AMD,AMD
AAPL,Apple
ALL,Allstate
AMZN,Amazon
AXP,American Express
BA,Boeing
BAC,Bank of America
BRK.A,Berkshire Hathaway
C,Citigroup
CMCSA,Comcast
COST,Costco
CSCO,Cisco
CVX,Chevron
DIS,Disney
F,Ford
FB,Meta
FDX,Fedex
GM,General Motors
GOOG,Alphabet
GS,Goldman
HD,Home Depot
IBM,International Business Machines
INTC,Intel
JNJ,Johnson & Johnson
JPM,JP Morgan
KO,Coca-Cola
MCD,McDonald
MSFT,Microsoft
NFLX,Netflix
NKE,Nike
NVDA,Nvidia
ORCL,Oracle
PEP,Pepsico
PFE,Pfizer
PYPL,Paypal
QCOM,Qualcomm
QQQ,QQQ
SNAP,Snap
T,AT&T
TGT,Target
TSLA,Tesla
UBER,Uber
UPS,United Parcel Service
V,Visa
WFC,Wells Fargo
